COMID,lengthKM,Tidal,SLOPE,width_bkfl_m,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,CANADSKEL_,CANADSKEL1,UID_V6,F_CODE,HYC,VTR,YSS,LAKEUID,NAME_EN,NOM_FR,CGNDB_EN,CGNDB_FR,CGNS_FID,DATE_E,coast,outlet
3697700,3.221903616,0,0,25.64660433,369770,369889,182,321,0.03172,373991,32655,36509112,VT001,0,1,0,5616262,Saguenay River,Rivière Saguenay,EFGFN,EHYOQ,51ec742dba2011d892e2080020a0f4c9,20061211,0,0
3698910,0.766785049,0,0,13.88312533,369891,369866,228,228,0.00792,373993,20143,7121112,VT001,0,1,0,1758262, , , , , ,2003,0,0
3698730,1.559537244,0,0,28333.29308,369873,369889,321,2,0.02055,373994,32659,18235112,VT001,0,1,0,5616262,Saguenay River,Rivière Saguenay,EFGFN,EHYOQ,51ec742dba2011d892e2080020a0f4c9,2003,0,0
3698920,20.01357954,0,0,6.07134421,369892,369724,218,218,0.25263,373995,32194,35788112,BH140,8,0,0,0, , , , , ,20061024,0,0
3698950,4.927152631,0,0,194.1306042,369895,369772,2,188,0.05837,373997,34651,19212112,VT001,0,1,0,5749262, , , , , ,2003,0,0
3694700,13.79037097,0,0,11.95445328,369470,369895,2,2,0.15556,373998,34652,19213112,VT001,0,1,0,5749262, , , , , ,2003,0,0
3698970,1.96942398,0,0,0.878946416,369897,369896,222,222,0.02401,373999,14275,2648112,BH140,8,0,0,0, , , , , ,2003,0,1
3696650,7.325836305,0,0,6.564017178,369665,369900,2,2,0.08186,374002,34247,19008112,VT001,0,1,0,5749262, , , , , ,2003,0,0
3698000,2.922388109,0,0,3.017295694,369800,369901,2,2,0.03095,374003,33770,18792112,VT001,0,1,0,5770262, , , , , ,2003,0,0
3699030,9.839665681,0,0,3.359539674,369903,369710,222,222,0.12661,374005,15771,3630112,BH140,8,0,0,0, , , , , ,2003,0,0
3699040,5.890778927,0,0,2.190632994,369904,369853,218,218,0.07388,374006,31903,17713112,BH140,8,0,0,0, , , , , ,2003,0,0
3699070,1.529083988,0,0,12.41922509,369907,369856,311,222,0.01655,374009,3191090,6432112,BH140,8,0,0,0,Harpoon Brook,Harpoon Brook,AAJPG,AAJPG,0c118ff8849c20c3989045bd16144dfb,2003,0,0
3699080,1.93792203,0,0,6.475223782,369908,369849,228,228,0.02175,374010,21226,8140112,VT001,0,1,0,2651262, , , , , ,2003,0,0
3699090,13.10116002,0,0,4.264894928,369909,369910,182,182,0.13858,374011,32600,18194112,BH140,8,0,0,0, , , , , ,2003,0,0
3698820,1.004869282,0,0,20.17022136,369882,369911,228,228,0.0124,374012,22338,9207112,BH140,8,0,0,0, , , , , ,2003,0,1
3698300,12.35408307,0,0,92.73548623,369830,369912,218,218,0.1584,374014,31128,17142112,BH140,8,0,0,0,Rivière du Sault au Mouton,Rivière du Sault au Mouton,EIBXC,EIBXC,984c403cbe4e11d892e2080020a0f4c9,2003,0,1
3699140,9.113886625,0,0,3.151690968,369914,369915,228,228,0.10123,374016,21652,8553112,BH140,8,0,0,0, , , , , ,2003,0,0
3699200,6.689649036,0,0,2.435590868,369920,369759,218,218,0.0836,374021,31808,36238112,BH140,8,0,0,0, , , , , ,20061204,0,0
3698610,2.13512245,0,0,2.349011361,369861,369921,222,222,0.0236,374022,16366,4055112,VT001,0,1,0,1358262, , , , , ,2003,0,0
3699220,3.545391006,0,0,1.434748297,369922,369862,218,218,0.04639,374023,31956,17747112,BH140,8,0,0,0, , , , , ,2003,0,0
