FROMCOMID,TOCOMID
9677490,9677410
9677488,9676828
9676814,9677488
9677480,9676814
9676806,9677480
0,9677596
9677596,9676806
9676956,9677568
9677566,9676956
9677640,9677566
9677630,9677644
9676942,9677552
9677444,9676936
9677438,9677444
9684266,9684280
9683726,9684266
9683722,9683726
9683650,9683722
9683660,9683650
9683660,9683652
9683658,9683660
9683656,9683658
9683656,9684528
9683656,9683668
9683628,9683656
9683614,9683628
9683614,9683624
9683612,9683614
9683612,9683626
9683610,9683612
9683618,9683610
9684206,9683618
9684206,9683616
9684530,9684206
9684150,9684540
9684540,9686396
9684250,9684150
9683662,9684250
9684238,9684240
9683594,9683662
9684240,9683594
9684232,9684236
9683560,9684232
9684236,9684238
0,9684478
9684478,9683536
9684228,9683554
9683536,9684220
9683554,9683560
9684220,9684222
9683550,9684228
9684222,9683550
9684152,9684530
9683682,9684152
9683700,9683682
9684208,9683700
9684160,9684208
9683732,9684160
9683734,9683732
9683718,9684300
9683692,9683718
9684292,9683692
9683694,9684292
9683696,9684560
9683710,9683696
9683728,9683710
0,9683744
9683744,9683742
9683742,9684324
9683736,9683732
9683748,9683736
9684316,9683748
9683758,9684316
9683772,9683758
9683784,9683772
9683810,9683784
9683812,9683810
9684174,9683812
9684384,9684174
9684532,9684384
9684192,9684532
9683820,9684192
0,9684516
9684516,9684178
9684178,9683820
9684410,9684172
9684172,9683810
9683862,9684410
9683874,9684414
9684414,9683862
9684194,9683874
9684424,9684194
0,9683902
9683902,9684424
9684304,9684162
9684162,9684208
9683756,9684306
9684306,9684304
9683768,9683756
9684190,9683768
9683824,9684190
9684380,9684374
0,9683828
9683828,9684380
9684374,9683826
9683826,9684378
9684170,9683768
9684182,9684170
9683840,9684182
9683860,9683840
9684398,9683860
9683894,9684398
9683904,9683894
9684422,9683904
0,9683928
9683928,9684422
9681080,9681444
9681444,9681452
9681082,9681080
9681088,9681082
9679726,9681088
9679774,9679726
9679782,9679774
9679784,9679782
9684442,9683980
9679804,9679784
9683984,9684444
9683980,9679804
9684444,9684442
9683986,9683984
9683978,9683986
9683982,9683978
9683974,9684446
9683970,9683974
9684440,9683970
9684434,9683958
9683958,9684440
9684436,9684434
9684432,9684436
9683962,9684432
9684430,9683962
9683956,9684430
9683954,9683956
9683952,9683954
0,9683948
9683948,9683952
9680112,9681566
9681566,9681578
9680068,9680112
9679874,9680068
9679818,9679874
9679818,9679822
9679882,9679818
9679882,9679742
9679884,9679882
9679884,9679902
9679872,9679884
9679894,9679872
9679894,9681120
9679930,9679894
9681128,9679930
9679954,9681128
9679954,9679946
9681138,9680002
9680278,9680214
9681166,9680278
9680276,9681166
9680310,9680276
9681208,9680310
9680390,9681208
9680396,9680390
9680398,9680396
9680346,9680398
0,9680384
9680384,9680346
9681198,9681586
9681586,9681596
9680506,9681198
9680504,9680506
9680500,9680504
9680568,9680500
9681654,9681650
0,9680768
9680768,9681656
9681656,9681654
9681546,9681570
9681218,9681546
