FNODE_,TNODE_
2005700,2005670
2005720,2004750
2005730,2005740
2005740,2005750
2005750,2006790
2005760,2005720
2005770,2005170
2005780,2005720
2005790,2005080
2005810,2005440
2005840,2005950
2005850,2005060
2005860,2005620
2005870,2005930
2005900,2005760
2005930,2006120
2005940,2005920
2005950,2006080
2005980,2005150
2005990,2006000
2006000,2006280
2006040,2005690
2006080,2007000
2006090,2005940
2006100,2006030
2006110,2006040
2006120,2007340
2006130,2006120
2006150,2005860
2006160,2005870
2006170,2006100
2006180,2006110
2006200,2004110
2006210,2006040
2006260,2006240
2006280,2006450
2006290,2005250
2006310,2006210
2006320,2005930
2006330,2005850
2006350,2006330
2006400,2005660
2006410,2006420
2006420,2006940
2006430,2006350
2006450,2006980
2006480,2006490
2006490,2006690
2006500,2006510
2006510,2006330
2006530,2006540
2006540,2006630
2006580,2005410
2006590,2006520
2006630,2006430
2006650,2005790
2006690,2007930
2006700,2006590
2006710,2006590
2006720,2006730
2006730,2006840
2006740,2006260
2006750,2005980
2006760,2005980
2006770,2006700
2006780,2006790
2006790,2006990
2006800,2006730
2006810,2006770
2006820,2005660
2006840,2006200
2006850,2006170
2006860,2006760
2006900,2006630
2006940,2007190
2006950,2006720
2006960,2006750
2006970,2006700
2006980,2007000
2006990,2006650
2007000,2007820
2007010,2006090
2007020,2007030
2007030,2008780
2007040,2005780
2007050,2006900
2007060,2006810
2007070,2007080
2007080,2007180
2007110,2007140
2007120,2007110
2007130,2006990
2007140,2007160
2007180,2007520
2007190,2007700
2007210,2007080
2007270,2007130
2007280,2006650
2007290,2007270
2007300,2007310
2007310,2007050
2007320,2006280
2007330,2006670
2007340,2007500
2007350,2007340
2007360,2007370
2007370,2007450
2007380,2005770
2007390,2007290
2007410,2007360
2007420,2006880
2007440,2007390
2007450,2007300
2007460,2007470
2007480,2007470
2007490,2006960
2007500,2007620
2007560,2007010
2007570,2006740
2007580,2007590
2007590,2007650
2007620,2007920
2007640,2005410
2007670,2007630
2007680,2006740
2007690,2007700
2007700,2007810
2007710,2007720
2007720,2009870
2007730,2007280
2007740,2007490
2007750,2007760
2007760,2008290
2007770,2007760
2007780,2007130
2007790,2007780
2007800,2007620
2007810,2008010
2007820,2008260
2007890,2007900
2007900,2007940
2007910,2007810
2007920,2007970
2007930,2008380
2007940,2008500
2007950,2007960
2007960,2007930
2007970,2007830
2007980,2007860
2007990,2007970
2008000,2008010
2008020,2008030
2008030,2008070
2008040,2007980
2008050,2007310
2008060,2007670
2008070,2008140
2008090,2006710
2008120,2007740
2008130,2007780
2008140,2008330
2008150,2008120
2008160,2008170
2008170,2008470
2008180,2008360
2008190,2008180
2008200,2007640
2008210,2008190
2008220,2008210
2008230,2007330
2008240,2008130
2008250,2005790
2008260,2008300
2008270,2008260
2008290,2008300
2008300,2010570
2008310,2007280
2008320,2008050
2008330,2008090
2008340,2008130
2008350,2007420
2008360,2008240
2008370,2006970
2008380,2008780
2008390,2008400
2008400,2008420
2008410,2008250
2008420,2008170
2008430,2007740
2008440,2008340
2008450,2007560
2008460,2008320
2008470,2008720
2008480,2008490
2008490,2008690
2008500,2008630
2008510,2008460
2008520,2008400
2008530,2008540
2008540,2008550
2008550,2008520
2008560,2008460
2008590,2008120
2008600,2008510
2008630,2008270
2008640,2008440
2008660,2008620
2008670,2008560
2008690,2009260
2008700,2008090
2008710,2008720
2008720,2009910
2008740,2008660
2008750,2008740
2008770,2008430
2008780,2009070
2008790,2008410
2008810,2008640
2008840,2007920
2008880,2007030
2008920,2007770
2008930,2008920
2008950,2007830
2008970,2008330
2008980,2007960
2009010,2007990
2009030,2008420
2009070,2010700
2009080,2007640
2009100,2008980
2009110,2009120
2009120,2009300
2009160,2009100
2009170,2008950
2009180,2009190
2009190,2009740
2009260,2009720
2009270,2007560
2009290,2009120
2009300,2010560
2009330,2009340
2009340,2010060
2009350,2009340
2009360,2007490
2009370,2008950
2009380,2009390
2009390,2011460
2009420,2009170
2009450,2008750
2009490,2009450
2009500,2009490
2009570,2009260
2009590,2009600
2009600,2009740
2009620,2009630
2009630,2010060
2009640,2009630
2009670,2009680
2009680,2010310
2009740,2009800
2009770,2009140
2009780,2006860
2009800,2009820
2009820,2009860
2009830,2009780
2009840,2009830
2009850,2009770
2009860,2009570
2009870,2010260
2009900,2009870
2009910,2010910
2009920,2009420
2009930,2009770
2009940,2009920
2009960,2009910
2009980,2009390
2010000,2009420
2010020,2010030
2010030,2011230
2010060,2010880
2010070,2009500
2010080,2010090
2010090,2010140
2010160,2010080
2010170,2009960
2010190,2010160
2010230,2010150
2010250,2010260
2010260,2010950
2010290,2010300
2010300,2011050
2010310,2010590
2010330,2009830
2010340,2010350
2010350,2010380
2010380,2010390
2010390,2010660
2010420,2010430
2010430,2010550
2010490,2010380
2010510,2009850
2010520,2008040
2010540,2008770
2010550,2009940
2010560,2010570
2010570,2012410
2010610,2006860
2010650,2010660
2010660,2011540
2010670,2010590
2010680,2010690
2010690,2010700
2010700,2010990
2010710,2010670
2010730,2010030
2010740,2010750
2010750,2011750
2010760,2010750
2010770,2010540
2010780,2010770
2010790,2010480
2010870,2010880
2010880,2011000
2010900,2010420
2010910,2012200
2010920,2010930
2010960,2010950
2010990,2011320
2011010,2011000
2011030,2011040
2011040,2011390
2011050,2011190
2011060,2009290
2011070,2010230
2011090,2010770
2011140,2010480
2011180,2010960
2011190,2011060
2011200,2010510
2011220,2009780
2011230,2011590
2011270,2010550
2011290,2010510
2011300,2011040
2011320,2011590
2011340,2011050
2011350,2011270
2011380,2011390
2011400,2009930
2011420,2011430
2011430,2012670
2011440,2011430
2011450,2011460
2011460,2011550
2011530,2011190
2011540,2011980
2011550,2011910
2011570,2011580
2011590,2011980
2011660,2010190
2011730,2011560
2011740,2011750
2011750,2012370
2011760,2011060
2011770,2010190
2011800,2011810
2011810,2011730
2011850,2011890
2011860,2011850
2011870,2011880
2011880,2011950
2011890,2014080
2011900,2011850
2011910,2013360
2011920,2011910
2011950,2012040
2011980,2014310
2012090,2011090
2012100,2011810
2012120,2012090
2012130,2012570
2012140,2012130
2012170,2011760
