UID_V6,FNODE_,type,WSCSSDANAM,,,,WSCSDANAME,WSCMDANAME,OCEAN,dam_NAME
1065720,3797130,dam,Yamaska,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,CHOINIÈRE
1115720,3789190,dam,Richelieu,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,SAINT-OURS
705720,3796730,dam,Richelieu,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,CHAMBLY
676720,3774010,dam,Batiscan,,,,Lower St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,SAINT-NARCISSE
675720,3768250,dam,Sainte-Anne,,,,Lower St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,SAINT-ALBAN
947720,3758860,dam,Lower St. Lawrence - Gouffre,,,,Lower St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,"SEPT-CHUTES, BARRAGE DES"
948720,3759350,dam,Lower St. Lawrence - Gouffre,,,,Lower St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,"SEPT CHUTES, MUR DE DÉRIVATION AVAL DES"
754720,3760610,dam,Lower St. Lawrence - Gouffre,,,,Lower St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,JEAN LAROSE
588720,3739360,dam,Malbaie,,,,Lower St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,CLERMONT
794720,3737520,dam,Lower St. Lawrence - Loup,,,,Lower St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,SAINT-ANTONIN
591720,3741230,dam,Lower St. Lawrence - Loup,,,,Lower St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,MORIN
583720,3770670,dam,Etchemin,,,,Lower St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,ARMAGH
586720,3772950,dam,Etchemin,,,,Lower St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,JEAN GUERIN
757720,3784870,dam,Chaudière,,,,Lower St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,SARTIGAN
1058720,3703620,dam,Rimouski,,,,Northern Gaspé Peninsula,St. Lawrence Drainage Area,Atlantic Ocean,RIVIÈRE NEIGETTE
949720,3709230,dam,Rimouski,,,,Northern Gaspé Peninsula,St. Lawrence Drainage Area,Atlantic Ocean,"MITIS, BARRAGE"
1057720,3716740,dam,Rimouski,,,,Northern Gaspé Peninsula,St. Lawrence Drainage Area,Atlantic Ocean,MISTIGOUGÈCHE
593720,3690730,dam,Matane,,,,Northern Gaspé Peninsula,St. Lawrence Drainage Area,Atlantic Ocean,MATANE (LAC)
