UNIQUE_ID,FEATUREID,type,HUC10_Name,HUC10,HUC8_Name,HUC8,HUC6_Name,HUC6,HUC4_Name,HUC4,HUC2_Name,HUC2
u39998,10538720,dam,Lower North Fork Edisto River,305020303,North Fork Edisto,3050203,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u39999,10540106,dam,Upper North Fork Edisto River,305020301,North Fork Edisto,3050203,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u40000,10540116,dam,Upper North Fork Edisto River,305020301,North Fork Edisto,3050203,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u40001,10540150,dam,Upper North Fork Edisto River,305020301,North Fork Edisto,3050203,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u40002,10540284,dam,Upper North Fork Edisto River,305020301,North Fork Edisto,3050203,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u40003,10540454,dam,Middle North Fork Edisto River,305020302,North Fork Edisto,3050203,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u40004,10540458,dam,Upper North Fork Edisto River,305020301,North Fork Edisto,3050203,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u40005,10541412,dam,Upper North Fork Edisto River,305020301,North Fork Edisto,3050203,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u40006,10540472,dam,Middle North Fork Edisto River,305020302,North Fork Edisto,3050203,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u40007,10540798,dam,Upper North Fork Edisto River,305020301,North Fork Edisto,3050203,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u40008,10540844,dam,Upper North Fork Edisto River,305020301,North Fork Edisto,3050203,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u40009,10540950,dam,Middle North Fork Edisto River,305020302,North Fork Edisto,3050203,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u40010,10541032,dam,Upper North Fork Edisto River,305020301,North Fork Edisto,3050203,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u40011,10541260,dam,Middle North Fork Edisto River,305020302,North Fork Edisto,3050203,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u40012,10541414,dam,Upper North Fork Edisto River,305020301,North Fork Edisto,3050203,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u40013,10548328,dam,Upper South Fork Edisto River,305020401,South Fork Edisto,3050204,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u40014,10548352,dam,Upper South Fork Edisto River,305020401,South Fork Edisto,3050204,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u40015,10548482,dam,Upper South Fork Edisto River,305020401,South Fork Edisto,3050204,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u40016,10549734,dam,Upper South Fork Edisto River,305020401,South Fork Edisto,3050204,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u40017,10548500,dam,Upper South Fork Edisto River,305020401,South Fork Edisto,3050204,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
u40018,10549764,dam,Upper South Fork Edisto River,305020401,South Fork Edisto,3050204,Edisto-South Carolina Coastal,30502,Edisto-Santee,305,South Atlantic-Gulf Region,3
