FNODE_,FNODE_,type,WSCSSDANAM,,,,WSCSDANAME,WSCMDANAME,OCEAN
2018110,2018110,outlet,Point Wolfe,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
2020100,2020100,outlet,Point Wolfe,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
2023420,2023420,outlet,Point Wolfe,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
2002600,2002600,outlet,Western Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2002610,2002610,outlet,Western Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2003320,2003320,outlet,Western Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2003330,2003330,outlet,Western Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2003340,2003340,outlet,Western Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2004550,2004550,outlet,Western Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2005970,2005970,outlet,Western Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2006010,2006010,outlet,Western Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2005640,2005640,outlet,Central Prince Edward Island - Wilmot,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2005690,2005690,outlet,Central Prince Edward Island - Wilmot,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2005710,2005710,outlet,Central Prince Edward Island - Wilmot,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2005800,2005800,outlet,Central Prince Edward Island - Wilmot,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2006360,2006360,outlet,Central Prince Edward Island - Wilmot,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2006390,2006390,outlet,Central Prince Edward Island - Wilmot,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2007150,2007150,outlet,Central Prince Edward Island - Wilmot,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2007160,2007160,outlet,Central Prince Edward Island - Wilmot,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2007610,2007610,outlet,Central Prince Edward Island - Wilmot,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2007630,2007630,outlet,Central Prince Edward Island - Wilmot,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2009050,2009050,outlet,Central Prince Edward Island - Wilmot,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2006270,2006270,outlet,Central Prince Edward Island - Hillsborough,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2006300,2006300,outlet,Central Prince Edward Island - Hillsborough,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2006610,2006610,outlet,Central Prince Edward Island - Hillsborough,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2006620,2006620,outlet,Central Prince Edward Island - Hillsborough,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2006660,2006660,outlet,Central Prince Edward Island - Hillsborough,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2006670,2006670,outlet,Central Prince Edward Island - Hillsborough,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2006680,2006680,outlet,Central Prince Edward Island - Hillsborough,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2006880,2006880,outlet,Central Prince Edward Island - Hillsborough,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2006890,2006890,outlet,Central Prince Edward Island - Hillsborough,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2009710,2009710,outlet,Central Prince Edward Island - Hillsborough,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2009720,2009720,outlet,Central Prince Edward Island - Hillsborough,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2006030,2006030,outlet,Northeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2006050,2006050,outlet,Northeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2006520,2006520,outlet,Northeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2006560,2006560,outlet,Northeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2006830,2006830,outlet,Northeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2006930,2006930,outlet,Northeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2007220,2007220,outlet,Northeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2007230,2007230,outlet,Northeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2007520,2007520,outlet,Northeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2007540,2007540,outlet,Northeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2007650,2007650,outlet,Northeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2008800,2008800,outlet,Northeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2008830,2008830,outlet,Northeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2009410,2009410,outlet,Southeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2009460,2009460,outlet,Southeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2010140,2010140,outlet,Southeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2010200,2010200,outlet,Southeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2010590,2010590,outlet,Southeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2010800,2010800,outlet,Southeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2011940,2011940,outlet,Southeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2012020,2012020,outlet,Southeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2012110,2012110,outlet,Southeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2012180,2012180,outlet,Southeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2012710,2012710,outlet,Southeastern Prince Edward Island,,,,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean
2036920,2036920,outlet,Meteghan,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2037910,2037910,outlet,Meteghan,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2038460,2038460,outlet,Meteghan,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2039110,2039110,outlet,Meteghan,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2040600,2040600,outlet,Meteghan,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2031920,2031920,outlet,Sissiboo,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2031950,2031950,outlet,Sissiboo,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2035700,2035700,outlet,Sissiboo,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2028770,2028770,outlet,Annapolis,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
2024900,2024900,outlet,Gaspereau,,,,Bay of Fundy and Gulf of St. Lawrence (N.S.),Maritime Provinces Drainage Area,Atlantic Ocean
