143.11,Total functional habitat (sq_km),,,,,,
1045.92,Maximum habitat (sq_km),,,,,,
0,Channel width threshold (m),,,,,,
0,Slope threshold (m/m),,,,,,
0,Omit tidal reaches,,,,,,
UNIQUE_ID, type, catchmentID, habitat_sqkm, habitatSegment_sqkm, functional_habitatSegment_sqkm, PassageToHabitat, Decision
5878743,outlet,5878743,0.007824188,0.007824188,0.007824188,1,outlet
2682786,outlet,2682786,0.007777618,0.007777618,0.007777618,1,outlet
2675408,outlet,2675408,0.007739259,0.007739259,0.007739259,1,outlet
6721221,outlet,6721221,0.007724313,0.007724313,0.007724313,1,outlet
6129001,outlet,6129001,0.007691902,0.007691902,0.007691902,1,outlet
5204986,outlet,5204986,0.007649828,0.007649828,0.007649828,1,outlet
2683502,outlet,2683502,0.007551293,0.007551293,0.007551293,1,outlet
2680450,outlet,2680450,0.007504566,0.007504566,0.007504566,1,outlet
2683158,outlet,2683158,0.007489074,0.007489074,0.007489074,1,outlet
166174784,outlet,166174784,0.007452109,0.007452109,0.007452109,1,outlet
2683286,outlet,2683286,0.007290965,0.007290965,0.007290965,1,outlet
6721637,outlet,6721637,0.007285629,0.007285629,0.007285629,1,outlet
6129321,outlet,6129321,0.007178975,0.007178975,0.007178975,1,outlet
2676392,outlet,2676392,0.007150146,0.007150146,0.007150146,1,outlet
2682968,outlet,2682968,0.007110071,0.007110071,0.007110071,1,outlet
2676776,outlet,2676776,0.007089313,0.007089313,0.007089313,1,outlet
6131367,outlet,6131367,0.007057796,0.007057796,0.007057796,1,outlet
5882171,outlet,5882171,0.007047993,0.007047993,0.007047993,1,outlet
6168854,outlet,6168854,0.006929795,0.006929795,0.006929795,1,outlet
2678116,outlet,2678116,0.111590267,0.006913462,0.006913462,1,outlet
2676174,outlet,2676174,0.006849244,0.006849244,0.006849244,1,outlet
6178222,outlet,6178222,0.084977555,0.00680065,0.00680065,1,outlet
2682982,outlet,2682982,0.006799785,0.006799785,0.006799785,1,outlet
7733097,outlet,7733097,0.074939018,0.006758883,0.006758883,1,outlet
7733103,outlet,7733103,0.006747689,0.006747689,0.006747689,1,outlet
2682202,outlet,2682202,0.006740191,0.006740191,0.006740191,1,outlet
7733085,outlet,7733085,0.014830792,0.006533302,0.006533302,1,outlet
6177654,outlet,6177654,0.006529114,0.006529114,0.006529114,1,outlet
2680402,outlet,2680402,0.006516768,0.006516768,0.006516768,1,outlet
