UNIQUE_ID,COMID,type,TERMCODE,TERMNAME_HUC10,TERMNAME_HUC8,TERMNAME_HUC6,TERMNAME_HUC4,TERMNAME_HUC2,damName,latitude,longitude
92002830,92002830,outlet,NICN910000000,Chéticamp,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.79481534,-60.87384001
92003020,92003020,outlet,NICN910000000,Kouchibouguac,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.77790014,-64.90419341
92003040,92003040,outlet,NICN910000000,Kouchibouguac,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.77665329,-64.90111542
92003180,92003180,outlet,NICN910000000,Chéticamp,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.76671069,-60.71249529
92003190,92003190,outlet,NICN910000000,Wreck Cove,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.76593707,-60.3582937
92003320,92003320,outlet,NICN910000000,Western Prince Edward Island,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.7450943,-64.18064117
92003330,92003330,outlet,NICN910000000,Western Prince Edward Island,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.74321747,-64.07714844
92003340,92003340,outlet,NICN910000000,Western Prince Edward Island,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.74165796,-64.07528844
92003420,92003420,outlet,NICN910000000,Wreck Cove,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.74831361,-60.52089358
92003670,92003670,outlet,NICN910000000,Chéticamp,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.7067723,-60.68918764
92003680,92003680,outlet,NICN910000000,Richibucto,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.70472336,-64.83867645
92003770,92003770,outlet,NICN910000000,Richibucto,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.69664312,-64.83745692
